<<<<<<< HEAD
kills,rand,cum_sum,mean
4,1.1476233640950184e-05,4,4.0
0,6.194179739893446e-05,4,2.0
4,9.886152360960576e-05,8,2.6666666666666665
2,0.00010666938297787532,10,2.5
8,0.00017823539321881743,18,3.6
7,0.0002295021721534507,25,4.166666666666667
4,0.00026115467474874254,29,4.142857142857143
4,0.00047590840494704523,33,4.125
2,0.000514372300211785,35,3.888888888888889
14,0.0005580817562327312,49,4.9
3,0.0005609615306969573,52,4.7272727272727275
5,0.0005852929367589077,57,4.75
4,0.0006040102767835842,61,4.6923076923076925
3,0.0006466008063243933,64,4.571428571428571
4,0.0006741847651142718,68,4.533333333333333
0,0.0007168241563453304,68,4.25
2,0.0007260241918647381,70,4.117647058823529
2,0.0007366756654565432,72,4.0
10,0.0007562332265044214,82,4.315789473684211
2,0.0007717041380702616,84,4.2
12,0.0008142163486420939,96,4.571428571428571
10,0.0008613583993229978,106,4.818181818181818
7,0.0009104746241981321,113,4.913043478260869
0,0.0009201699345779968,113,4.708333333333333
8,0.0009931320634755103,121,4.84
15,0.0010459798817460397,136,5.230769230769231
6,0.0010729432269279693,142,5.2592592592592595
12,0.0010750644847655755,154,5.5
7,0.0010932143498775249,161,5.551724137931035
11,0.0011361196033109477,172,5.733333333333333
8,0.0011903122042311587,180,5.806451612903226
9,0.0011915853224632178,189,5.90625
10,0.0012514877325234819,199,6.03030303030303
1,0.0013393716157587,200,5.882352941176471
7,0.0013631569942086363,207,5.914285714285715
9,0.0013814913831082798,216,6.0
4,0.001545172034945752,220,5.945945945945946
16,0.0017023192322012104,236,6.2105263157894735
23,0.0018402191388844358,259,6.641025641025641
24,0.0019101544772410772,283,7.075
2,0.00196920919928556,285,6.951219512195122
7,0.0019739532826396067,292,6.9523809523809526
2,0.0020116068265262355,294,6.837209302325581
1,0.0021829364784676786,295,6.704545454545454
2,0.0022172748628497274,297,6.6
4,0.0022421171163131692,301,6.543478260869565
2,0.0022664671588590313,303,6.446808510638298
4,0.00229266439799225,307,6.395833333333333
3,0.0023699778050358944,310,6.326530612244898
10,0.0024567762525014025,320,6.4
2,0.002463520577971612,322,6.313725490196078
5,0.0024766417688655284,327,6.288461538461538
6,0.0025283016971913153,333,6.283018867924528
0,0.0025382399718130166,333,6.166666666666667
5,0.0026069414749750885,338,6.1454545454545455
7,0.002665303085673476,345,6.160714285714286
4,0.0026878816746233047,349,6.12280701754386
16,0.002700020798316105,365,6.293103448275862
9,0.0027561508929713208,374,6.338983050847458
9,0.0027754168948080915,383,6.383333333333334
3,0.0027790060079868617,386,6.327868852459017
5,0.0027888119500060204,391,6.306451612903226
0,0.002871698401974543,391,6.2063492063492065
5,0.0030991526982661055,396,6.1875
10,0.0031389124844981575,406,6.246153846153846
8,0.0031400431949271113,414,6.2727272727272725
11,0.003151213532948005,425,6.343283582089552
33,0.003195025710917232,458,6.735294117647059
4,0.0032061529856551862,462,6.695652173913044
7,0.0032972993456785726,469,6.7
8,0.003506381198489783,477,6.71830985915493
0,0.003545534600286837,477,6.625
20,0.0035624904947006986,497,6.808219178082192
4,0.003644256041949734,501,6.77027027027027
4,0.003663343728135149,505,6.733333333333333
1,0.003691998190403001,506,6.657894736842105
2,0.00375920666360674,508,6.597402597402597
4,0.0037951477069806394,512,6.564102564102564
0,0.003814644554417934,512,6.481012658227848
3,0.003864852823221132,515,6.4375
3,0.003907979909806181,518,6.395061728395062
2,0.003930738650758769,520,6.341463414634147
5,0.003959362047073922,525,6.325301204819277
10,0.003965565251010883,535,6.369047619047619
4,0.004049065666848262,539,6.341176470588235
4,0.004080858732449566,543,6.313953488372093
7,0.004099642666193559,550,6.32183908045977
5,0.00412447748944933,555,6.306818181818182
1,0.004238112775067804,556,6.247191011235955
6,0.004253662301537342,562,6.2444444444444445
13,0.0043432070903457465,575,6.318681318681318
13,0.004351874576736248,588,6.391304347826087
0,0.0043727126834471886,588,6.32258064516129
1,0.004404213519322742,589,6.26595744680851
18,0.004407424635361035,607,6.389473684210526
17,0.004468773510944768,624,6.5
1,0.004517350549261057,625,6.443298969072165
10,0.0046224830758848645,635,6.479591836734694
3,0.004627836954164688,638,6.444444444444445
4,0.004660111184558113,642,6.42
7,0.004774882911420697,649,6.425742574257426
15,0.0048597947720783186,664,6.509803921568627
1,0.004932200074758475,665,6.456310679611651
5,0.0049337658814824215,670,6.4423076923076925
13,0.004982833636580919,683,6.504761904761905
2,0.0050448123234690945,685,6.462264150943396
0,0.005080130132755545,685,6.401869158878505
7,0.005143545623848889,692,6.407407407407407
12,0.005185471463270641,704,6.458715596330276
5,0.005261542374262684,709,6.445454545454545
0,0.005292217319706527,709,6.387387387387387
3,0.005292483086442923,712,6.357142857142857
10,0.005387725127634746,722,6.389380530973451
2,0.0054195139117236835,724,6.350877192982456
5,0.0054223311743805125,729,6.339130434782609
7,0.005508291114219355,736,6.344827586206897
2,0.005511606716957829,738,6.3076923076923075
5,0.005522604502000927,743,6.296610169491525
3,0.005785132484891986,746,6.26890756302521
3,0.005874222107954186,749,6.241666666666666
7,0.005932161728740781,756,6.24793388429752
5,0.005982275264733272,761,6.237704918032787
5,0.006017768710902427,766,6.227642276422764
0,0.006096664788112882,766,6.17741935483871
3,0.006133780861683258,769,6.152
5,0.006141576290634498,774,6.142857142857143
14,0.006203161056190121,788,6.2047244094488185
4,0.006216872468374546,792,6.1875
1,0.006305254562813722,793,6.147286821705427
7,0.0063576215810901004,800,6.153846153846154
2,0.006495650001794195,802,6.122137404580153
18,0.006578082559351994,820,6.212121212121212
2,0.006604154754034641,822,6.180451127819549
3,0.006622677924594811,825,6.156716417910448
17,0.0066705125438901725,842,6.237037037037037
1,0.006673207536651349,843,6.198529411764706
19,0.006683210933972283,862,6.291970802919708
10,0.006732271892917696,872,6.318840579710145
4,0.0067419888818299745,876,6.302158273381295
2,0.006747542117254812,878,6.271428571428571
0,0.006756097941835959,878,6.226950354609929
0,0.006817713485510968,878,6.183098591549296
3,0.006889084451070393,881,6.160839160839161
3,0.007062855888111508,884,6.138888888888889
3,0.007176728794188181,887,6.117241379310345
3,0.007244238019824989,890,6.095890410958904
17,0.007296898898708659,907,6.170068027210885
15,0.00731020094549617,922,6.22972972972973
3,0.007344553739541793,925,6.208053691275167
0,0.007374303959370665,925,6.166666666666667
6,0.00738646997696657,931,6.1655629139072845
6,0.00739073686378422,937,6.1644736842105265
4,0.007439215420627532,941,6.150326797385621
1,0.007489269278320054,942,6.116883116883117
3,0.007502722080732882,945,6.096774193548387
1,0.007536513887804186,946,6.064102564102564
2,0.00757927769802913,948,6.038216560509555
11,0.0076013276332249635,959,6.069620253164557
0,0.007623722238456643,959,6.031446540880503
0,0.007662224963947861,959,5.99375
4,0.007687891927051438,963,5.9813664596273295
0,0.007811366478548409,963,5.944444444444445
2,0.007815629959240789,965,5.920245398773006
7,0.00790536774885675,972,5.926829268292683
9,0.007920256774055834,981,5.945454545454545
5,0.007985737431067674,986,5.9397590361445785
0,0.008012939067497116,986,5.904191616766467
7,0.008210043592627225,993,5.910714285714286
4,0.008266865105657106,997,5.899408284023669
0,0.008308321632122806,997,5.864705882352941
5,0.008331578082390823,1002,5.859649122807017
11,0.008393945872171571,1013,5.8895348837209305
0,0.008443091033579986,1013,5.855491329479769
3,0.00851753092320684,1016,5.839080459770115
5,0.008595366668760152,1021,5.8342857142857145
1,0.008820155204738889,1022,5.806818181818182
7,0.008848158404264561,1029,5.813559322033898
7,0.008980669000444474,1036,5.820224719101123
13,0.00903391482512983,1049,5.860335195530726
4,0.009034780638700113,1053,5.85
2,0.009066803658522082,1055,5.828729281767956
0,0.009088346505969347,1055,5.7967032967032965
9,0.009141649601364432,1064,5.814207650273224
6,0.00930654181546231,1070,5.815217391304348
4,0.00933826703132834,1074,5.805405405405406
6,0.009364655353231166,1080,5.806451612903226
6,0.009387887190902777,1086,5.807486631016043
4,0.009417944253651722,1090,5.797872340425532
4,0.009600798578316083,1094,5.788359788359788
7,0.009624882462037299,1101,5.794736842105263
3,0.009707716090759377,1104,5.780104712041885
12,0.009713704916728516,1116,5.8125
6,0.009716557587875374,1122,5.813471502590674
1,0.00976280143074948,1123,5.788659793814433
2,0.009802065235496538,1125,5.769230769230769
3,0.00982244852521974,1128,5.755102040816326
2,0.009981995466297855,1130,5.7360406091370555
1,0.010142019957002257,1131,5.712121212121212
2,0.0102181478301,1133,5.693467336683417
2,0.010238800388487679,1135,5.675
2,0.010254893652786867,1137,5.656716417910448
9,0.01026098832867528,1146,5.673267326732673
14,0.01029975175025677,1160,5.714285714285714
1,0.010397396236581313,1161,5.6911764705882355
6,0.010422034436114114,1167,5.692682926829268
4,0.010453728215552571,1171,5.684466019417476
2,0.010493398794945596,1173,5.666666666666667
7,0.010500706592398101,1180,5.673076923076923
0,0.01051012397740192,1180,5.645933014354067
4,0.010520447701485192,1184,5.6380952380952385
5,0.010525357639754374,1189,5.6350710900473935
3,0.010527797165775898,1192,5.622641509433962
2,0.010632536802594017,1194,5.605633802816901
16,0.010638248259806415,1210,5.654205607476635
10,0.010654184186249971,1220,5.674418604651163
0,0.010697822648977673,1220,5.648148148148148
1,0.01070655065170234,1221,5.626728110599078
7,0.010728277273370335,1228,5.63302752293578
3,0.010790738430249025,1231,5.621004566210046
3,0.010852746055803775,1234,5.609090909090909
4,0.010860820309595898,1238,5.601809954751131
1,0.010918655455252835,1239,5.581081081081081
2,0.010999241503029111,1241,5.565022421524664
5,0.011054236026076913,1246,5.5625
9,0.01111498828227342,1255,5.5777777777777775
10,0.011186642091624788,1265,5.597345132743363
6,0.011321081906689678,1271,5.599118942731278
11,0.011371164734777839,1282,5.62280701754386
4,0.011394861413033697,1286,5.615720524017467
4,0.011443454992432045,1290,5.608695652173913
1,0.01153460256655603,1291,5.588744588744588
6,0.01154014730893893,1297,5.5905172413793105
12,0.011553228107544333,1309,5.618025751072961
4,0.011557904373730055,1313,5.611111111111111
5,0.01156053928715961,1318,5.608510638297872
3,0.011591009027766774,1321,5.5974576271186445
3,0.011646473494447251,1324,5.586497890295359
3,0.011731891436287722,1327,5.57563025210084
5,0.01181122061787332,1332,5.573221757322176
3,0.011853671583358816,1335,5.5625
2,0.011868417212163807,1337,5.547717842323651
